Tanggal,Tweet,Username,Likes,Replies,Retweets,Sentimen,Sentimen Label
2022-12-30 11:51:37+00:00,blackpinks shut surpassed 24 million unique listener melon httpstcoem1afd1yyp,chartsblackpink,961.0,0.0,176.0,0.375,positif
2022-12-30 08:21:52+00:00,mylenexxxxxxx bbu_blackpink blackpink yes lol basically still yg,YamanakaBitch,0.0,0.0,0.0,0.8,positif
2022-12-30 23:30:43+00:00,quiuzlui girlbossivestan seulmin26 kchartsmaster ive_twt blackpink g_i_dle aespa_official newjeans_ador rvsmtown jypetwice itzyofficial wm_ohmygirl le_sserafim fandom thanks hybe min hee jin,ramadhaniWy,2.0,1.0,0.0,0.2,positif
2022-12-30 23:26:25+00:00,elena_drye ok good kinda worried tbh,born_blackpink,0.0,1.0,0.0,0.6,positif
2022-12-30 09:44:54+00:00,rishabhpant heerabenmodi om shanti thunivucharactersreveal e4mbigscreensuccumbstosmall ऋषभ पत krish buck rajesh bb reunite priyanka ankit blackpink roorkee crucial evidence inssrcase honble pm delhidehradun may god rest peace httpstcoceesx2xwr9,theusaprint,1.0,0.0,3.0,0.0,netral
2022-12-30 15:24:30+00:00,seoul_merchant bts blackpink twice stray kid txt enhypen le sserafim itzy new jean g idle httpstcoqxz6uulprf,jeontaenus_,0.0,0.0,0.0,0.13636363636363635,positif
2022-12-30 16:14:47+00:00,adeus blackpink httpstcoacuv9bj1jz,liliechanel,0.0,0.0,0.0,0.0,netral
2022-12-30 12:18:02+00:00,mean saw coming knew werent going disband blackpink arent blackpink without rosé jisoo jennie lisa,j_nists,0.0,0.0,0.0,-0.3125,negatif
2022-12-30 14:54:33+00:00,blackpink switching label like moving new apartment building already live,moonlightcherie,1.0,0.0,0.0,0.13636363636363635,positif
2022-12-30 07:24:13+00:00,blackpink member choose agency want stupid dont like choose keep dont even need,Xnxovst,0.0,0.0,0.0,-0.7999999999999999,negatif
2022-12-30 13:59:00+00:00,girl got excited read left yg saw black labelbffr blackpink httpstcod6p8dfao2e,sparkjens,0.0,1.0,0.0,0.06944444444444445,positif
2022-12-30 13:41:28+00:00,somi leak another blackpinks song dont fcking blame,somigang1,3.0,0.0,0.0,0.0,netral
2022-12-30 08:10:11+00:00,blackpink leaf yg think bp look like compan making e,iloveAysahg,0.0,0.0,0.0,0.0,netral
2022-12-30 23:32:37+00:00,quiuzlui ramadhaniwy seulmin26 kchartsmaster ive_twt blackpink g_i_dle aespa_official newjeans_ador rvsmtown jypetwice itzyofficial wm_ohmygirl le_sserafim personal opinion like think girl ugly,girlbossivestan,0.0,0.0,0.0,-0.35,negatif
2022-12-30 19:36:45+00:00,tag larry harry anime kpop gc promo nct nsfw gfvip loyal list mr beast tiktok charli foot gg stan stray kid furry hot follow trick blackpink taekook fancam view furry charli ifb gain oomfs cat doja ariana grande leak position wayv dixie corpse httpstcoa0odts7ijy,tiniehuxiao,2.0,0.0,0.0,0.29166666666666663,positif
2022-12-30 11:05:41+00:00,busy dn tweeting blackpink time ofc token stan new gg httpstcow306txjoga,solosooyaa,13.0,0.0,0.0,0.11818181818181818,positif
2022-12-30 07:26:57+00:00,blackpinkvenom yea lol dont really go concert blackpink exception,MerrellRussett,0.0,1.0,0.0,0.5,positif
2022-12-30 11:45:39+00:00,swanta_tv blackpink,Laura_gt22,1.0,0.0,0.0,0.0,netral
2022-12-30 08:11:10+00:00,togejustvibin please 2023 good blackpink blink,niesoooseisa,1.0,0.0,0.0,0.7,positif
2022-12-30 09:58:11+00:00,blackpink lem see girl,mdsll_p,0.0,0.0,0.0,0.0,netral
2022-12-30 07:48:50+00:00,blackpink literally stuck like youll see blue moon isnt shocker barely make music,jindolies,0.0,0.0,0.0,0.025,positif
2022-12-30 06:53:32+00:00,baemon x blackpink collab,zefrivos,0.0,0.0,0.0,0.0,netral
2022-12-30 09:37:42+00:00,blackpink_ph check dm po myhomeisblckpnk,heyitsjennielie,0.0,0.0,0.0,0.0,netral
2022-12-30 12:16:19+00:00,got back work woke morning ikon leaving yg group rumour saying blackpink transfered black label yg starting launching new girl group 6 seriously thought still dreaming something,pandaholicVIP,5.0,0.0,1.0,-0.07272727272727272,negatif
2022-12-30 09:07:05+00:00,ironladygaga7 chartdata blackpink aww cant stan successful woman winning see,re30668463,0.0,0.0,0.0,0.5166666666666667,positif
2022-12-30 16:19:35+00:00,yall understand blackpink still gon na funded yg right black label division yg ofc theyre gon na get promo money,starkozova,2.0,1.0,0.0,0.05952380952380952,positif
2022-12-30 09:17:02+00:00,girl blackpink httpstcoo83rfm9sen,camzbanuhnuh,0.0,0.0,0.0,0.0,netral
2022-12-30 15:23:39+00:00,people call every korean group btsblackpink say youre racist move,ItBoyYeonjunnie,0.0,1.0,0.0,0.0,netral
2022-12-30 06:20:03+00:00,thats supposed blackpinks original name,jcrsm_2195,0.0,0.0,0.0,0.375,positif
2022-12-30 09:15:36+00:00,popbase blackpink,storyofaquarius,0.0,0.0,0.0,0.0,netral
2022-12-30 21:34:40+00:00,kpopinyour12 ayampopeye blackpinkstats5 blackpink 2 actually jp debut debut jp new bside,rosiesarelovely,0.0,1.0,0.0,0.06818181818181818,positif
2022-12-30 06:42:22+00:00,whatever want blackpink stay blackpink,hayamacawadib,0.0,0.0,0.0,0.0,netral
2022-12-30 13:05:31+00:00,koreaboo people saying blackpink yg created whole chaos blackpink leaving yg promote new girl group whether leave hypocrite need worry girl booked greatest event 2023,TravisPatel125,0.0,0.0,0.0,0.4454545454545455,positif
2022-12-30 17:15:19+00:00,blackpink returned 1 spotify thailand top artist chart httpstcofofzgql01z,BPxSpotify,1388.0,3.0,367.0,0.5,positif
2022-12-30 19:07:48+00:00,jenniemanduy blackpink onli best biggest gg world soporten,NoraElizabethV8,1.0,0.0,0.0,1.0,positif
2022-12-30 06:36:07+00:00,kchartsmaster saddest thing onky 2 tour blackpink 37 song,AniMeHu46619267,2.0,1.0,0.0,0.0,netral
2022-12-30 06:56:31+00:00,paji_treasure bright side blacklabel focus blackpink yg new gg think theyre rebranding since naghire ng new ceo blacklabel skilled daw,08pinksure,0.0,1.0,0.0,0.36818181818181817,positif
2022-12-30 12:05:22+00:00,mtv blackpink ivourth woowwo cool,jb_0ne,0.0,0.0,0.0,0.35,positif
2022-12-30 09:45:55+00:00,ph go preorder blackpink tour hoodie php 4100 lsf release date jan 8 15 2023 dop 50 dp balance upon arrival normal eta dm order ph go wts lfb httpstcobunwi6ffou,halmeoni_mnl,1.0,0.0,1.0,0.15,positif
2022-12-30 07:43:47+00:00,let blackpink entertainment become real,imyoursjennie,51.0,0.0,6.0,0.2,positif
2022-12-30 12:57:04+00:00,blackpink bpm roll 3 httpstcoupzt7bmely ผาน youtube,qealiengirlx,0.0,0.0,0.0,0.0,netral
2022-12-30 11:02:22+00:00,m4niacin pour blackpink cest faux,hayenrei,1.0,0.0,0.0,0.0,netral
2022-12-30 09:12:33+00:00,blackpink bpm roll 5 httpstcoxhiscawusy via youtube,nxxmjslch,0.0,0.0,0.0,0.0,netral
2022-12-30 07:45:39+00:00,blackpink still part big 3,_youngsoo,0.0,0.0,0.0,0.0,netral
2022-12-30 14:40:46+00:00,voy clavar un machete por la yugular donde esta el solo de mi jisoo would like hear official news agency plan regarding jisoos career solosinger please give u confirmation solo music need jisoo solo update asap blackpink,kissjichuu,0.0,0.0,0.0,0.0,netral
2022-12-30 20:16:58+00:00,wtf vote blackpink harries please,nayeonrrie,0.0,1.0,0.0,-0.5,negatif
